vehicle_make,vehicle_model,vehicle_body_type,vehicle_year,vehicle_mileage,vehicle_transmission,vehicle_price
Toyota,Kijang Innova,MPV,2020,55000,Automatic,310000000
Mazda,2,Hatchback,2018,17500,Automatic,230000000
Mitsubishi,Eclipse Cross,Wagon,2020,12500,Automatic,440000000
Honda,HR-V,SUV,2015,80000,Automatic,235000000
Honda,Brio,Hatchback,2020,50000,Automatic,182000000
Toyota,Kijang Innova,MPV,2020,70000,Manual,263000000
Mercedes-Benz,GLA200,SUV,2016,37500,Automatic,465000000
Chevrolet,Trailblazer,SUV,2017,157500,Automatic,270000000
Mazda,CX-5,SUV,2013,97500,Automatic,185000000
Toyota,Calya,MPV,2017,57500,Manual,103000000
Toyota,Calya,MPV,2022,7500,Automatic,150000000
Toyota,Calya,MPV,2018,67500,Automatic,118000000
Honda,CR-V,SUV,2009,112500,Automatic,120000000
Toyota,Fortuner,SUV,2020,50000,Automatic,450000000
Honda,City,Hatchback,2021,40000,Automatic,255000000
Toyota,Corolla Altis,Sedan,2014,130000,Automatic,180000000
Suzuki,Ertiga,MPV,2017,117500,Automatic,135000000
Toyota,Veloz,Wagon,2021,17500,Automatic,235000000
Toyota,Agya,Hatchback,2022,9000,Automatic,155000000
Mazda,2,Hatchback,2017,48000,Automatic,205000000
Toyota,Yaris,Hatchback,2017,30000,Automatic,188000000
Nissan,X-Trail,SUV,2020,47500,Automatic,385000000
Honda,Freed,MPV,2014,87500,Automatic,185000000
Toyota,Rush,SUV,2015,52500,Automatic,158000000
Suzuki,Ignis,Hatchback,2017,97500,Automatic,135000000
Daihatsu,Xenia,MPV,2017,72500,Manual,138000000
Wuling,Confero,Wagon,2019,32500,Manual,95000000
Wuling,Confero,Wagon,2021,12500,Automatic,150000000
Wuling,Confero,Wagon,2021,7500,Automatic,155000000
Wuling,Almaz,Wagon,2022,2500,Automatic,330000000
Honda,Brio,Hatchback,2019,17500,Automatic,160000000
Honda,BR-V,SUV,2017,92500,Automatic,185000000
Honda,HR-V,SUV,2022,62500,Automatic,263000000
Suzuki,Ertiga,MPV,2018,72500,Manual,157000000
Toyota,Kijang Innova,MPV,2021,12500,Manual,320000000
Honda,Brio,Hatchback,2019,27500,Automatic,180000000
Honda,HR-V,SUV,2016,62500,Automatic,216000000
Honda,CR-V,SUV,2015,112500,Automatic,245000000
Honda,HR-V,SUV,2017,72500,Automatic,235000000
Honda,City,Sedan,2011,137500,Automatic,130000000
Toyota,Kijang,MPV,2003,102500,Manual,100000000
Suzuki,Ertiga,MPV,2019,42500,Automatic,220000000
Honda,Jazz,Hatchback,2018,72500,Automatic,245000000
Honda,HR-V,SUV,2018,42500,Automatic,275000000
Mitsubishi,Xpander,Wagon,2017,62500,Manual,171000000
Toyota,Alphard,MPV,2009,97500,Automatic,198000000
Honda,HR-V,SUV,2018,72500,Automatic,280000000
Wuling,Almaz,Wagon,2019,57500,Automatic,210000000
Honda,Civic,Sedan,2010,167500,Automatic,158000000
Honda,HR-V,SUV,2019,47500,Automatic,300000000
Nissan,Juke,SUV,2011,132500,Automatic,127000000
Mitsubishi,Pajero Sport,SUV,2021,12500,Automatic,540000000
Mitsubishi,Pajero Sport,SUV,2013,87500,Automatic,263000000
Toyota,Fortuner,SUV,2012,62500,Automatic,235000000
Toyota,Fortuner,SUV,2018,67500,Automatic,469000000
Jeep,Wrangler,SUV,2008,92500,Automatic,618000000
Honda,CR-V,SUV,2019,52500,Automatic,425000000
Honda,Brio,Hatchback,2019,42500,Manual,152000000
Honda,CR-V,SUV,2016,92500,Automatic,325000000
Honda,HR-V,SUV,2016,112500,Automatic,210000000
Honda,Brio,Hatchback,2018,42500,Automatic,155000000
Honda,Accord,Sedan,2016,77500,Automatic,325000000
Mitsubishi,Xpander,Wagon,2020,62500,Automatic,270000000
Toyota,Avanza,MPV,2021,7500,Manual,275000000
Toyota,Calya,MPV,2018,38396,Manual,107500000
Honda,Mobilio,MPV,2017,87500,Automatic,155000000
Toyota,Kijang Innova,MPV,2020,9000,Automatic,399000000
Mazda,2,Hatchback,2019,22000,Automatic,225000000
Honda,Civic,Sedan,2018,7000,Automatic,399000000
Honda,CR-V,SUV,2013,92500,Automatic,220000000
Honda,BR-V,SUV,2016,67500,Manual,169000000
Toyota,Kijang Innova,MPV,2008,177500,Automatic,125000000
Suzuki,SX4,Hatchback,2011,157500,Manual,100000000
Toyota,Fortuner,SUV,2009,97500,Manual,193000000
Honda,Mobilio,MPV,2018,47500,Automatic,190000000
Lexus,RX270,SUV,2011,67500,Automatic,335000000
Honda,CR-V,Wagon,2015,62500,Manual,255000000
Toyota,Yaris,Hatchback,2014,42500,Manual,169000000
Toyota,Yaris,Hatchback,2020,17500,Automatic,260000000
Mazda,Biante,MPV,2015,62500,Automatic,220000000
Toyota,Kijang Innova,MPV,2009,147500,Manual,130000000
Toyota,Vellfire,Van Wagon,2015,62500,Automatic,729000000
Toyota,Corolla Altis,Sedan,2001,37500,Automatic,80000000
Mitsubishi,Xpander,Wagon,2018,62500,Automatic,219000000
Toyota,Agya,Hatchback,2018,42500,Automatic,125000000
Suzuki,Ertiga,MPV,2013,62500,Manual,121000000
Toyota,Sienta,MPV,2016,72500,Automatic,195000000
Mitsubishi,Pajero Sport,SUV,2017,57500,Automatic,445000000
Mitsubishi,Pajero Sport,SUV,2016,72500,Automatic,405000000
Honda,Mobilio,MPV,2015,92500,Automatic,145000000
Toyota,Kijang Innova,MPV,2014,117500,Automatic,190000000
Toyota,Kijang Innova,MPV,2007,182500,Automatic,135000000
Honda,Brio,Hatchback,2019,17500,Automatic,187000000
Mitsubishi,Xpander,Wagon,2020,22500,Automatic,250000000
Toyota,Avanza,MPV,2019,37500,Automatic,206000000
Toyota,Kijang Innova,MPV,2021,22500,Automatic,440000000
Daihatsu,Terios,SUV,2018,47500,Manual,215000000
Mitsubishi,Xpander,Wagon,2018,77500,Automatic,226000000
Toyota,Avanza,MPV,2019,31782,Manual,172500000
Wuling,Almaz,Wagon,2021,22500,Automatic,235000000
Honda,Mobilio,MPV,2019,53133,Manual,161000000
Suzuki,Ertiga,MPV,2019,37500,Manual,189500000
Honda,Jazz,Hatchback,2016,22500,Manual,210000000
Toyota,Raize,Wagon,2022,17500,Automatic,268000000
Toyota,Kijang Innova,MPV,2019,39000,Automatic,345000000
Toyota,Fortuner,SUV,2020,30000,Automatic,489000000
Honda,Brio,Hatchback,2018,77500,Manual,134500000
Mazda,CX-3,Wagon,2018,22500,Automatic,331000000
Toyota,Rush,SUV,2021,7500,Automatic,269000000
Toyota,Vellfire,Van Wagon,2009,102500,Automatic,275000000
Honda,Freed,MPV,2015,67500,Automatic,175000000
Honda,CR-V,SUV,2010,172500,Manual,150000000
Mitsubishi,Xpander,Wagon,2018,67500,Manual,200000000
Toyota,Kijang Innova,MPV,2017,22500,Manual,325000000
Honda,Mobilio,MPV,2019,22500,Automatic,220000000
Suzuki,Ertiga,MPV,2018,27500,Manual,160000000
Honda,Brio,Hatchback,2017,47500,Automatic,135000000
Daihatsu,Xenia,MPV,2016,82500,Manual,143000000
Toyota,Fortuner,SUV,2017,32500,Automatic,415000000
Toyota,Alphard,Van Wagon,2017,62500,Automatic,875000000
Toyota,Kijang Innova,MPV,2013,107500,Manual,185000000
Mitsubishi,Pajero Sport,SUV,2017,57500,Automatic,429000000
Honda,Jazz,Hatchback,2021,12500,Automatic,298000000
Toyota,Raize,Wagon,2021,32500,Automatic,249000000
Toyota,Kijang Innova,MPV,2022,7500,Automatic,465000000
Toyota,Avanza,MPV,2015,132500,Manual,135000000
Toyota,Fortuner,SUV,2016,32500,Automatic,420000000
Mitsubishi,Xpander,Wagon,2019,62500,Automatic,235000000
Honda,CR-V,SUV,2021,7500,Automatic,529000000
Honda,Brio,Hatchback,2019,12500,Manual,154000000
Suzuki,XL7,Wagon,2021,32500,Automatic,238000000
