vehicle_make,vehicle_model,vehicle_body_type,vehicle_year,vehicle_mileage,vehicle_transmission,vehicle_price
Suzuki,Ertiga,MPV,2013,92500,Manual,112000000
Suzuki,XL7,Wagon,2020,42500,Manual,190000000
Suzuki,Carry,Pick-up,2019,22500,Manual,105000000
Suzuki,Katana,Wagon,1995,97500,Manual,78000000
Toyota,Agya,Hatchback,2013,122500,Automatic,74000000
Suzuki,Ertiga,MPV,2014,107500,Manual,120000000
Mazda,CX-5,SUV,2014,222500,Automatic,175500000
Toyota,Kijang Innova,MPV,2015,152500,Automatic,190000000
Mitsubishi,Xpander,Wagon,2019,87500,Automatic,205500000
Toyota,Kijang Innova,MPV,2005,202500,Manual,107000000
Toyota,Kijang Innova,MPV,2014,87500,Manual,171500000
Mercedes-Benz,C200,Sedan,2013,152500,Automatic,179000000
Toyota,Kijang,MPV,1991,17500,Manual,30000000
Hyundai,Santa Fe,SUV,2016,120000,Automatic,320000000
Honda,Brio,Hatchback,2021,50000,Automatic,158000000
Toyota,Land Cruiser,SUV,2003,137500,Automatic,850000000
Nissan,Grand Livina,MPV,2014,152500,Automatic,90000000
Toyota,Fortuner,SUV,2017,39000,Automatic,386000000
Suzuki,Karimun,Hatchback,2003,182500,Manual,65000000
Suzuki,Ertiga,MPV,2019,47500,Automatic,149499000
Toyota,Yaris,Hatchback,2010,12500,Manual,95000000
Toyota,Avanza,MPV,2012,127500,Manual,120000000
Mazda,2,Hatchback,2016,97500,Automatic,183000000
Mazda,Biante,MPV,2015,72500,Automatic,170000000
Toyota,Rush,SUV,2018,97500,Manual,230000000
Toyota,Kijang Innova,MPV,2017,102500,Manual,240000000
Mitsubishi,Colt T120SS,Pick-up,2011,22500,Manual,70000000
Toyota,Avanza,MPV,2015,92500,Manual,135500000
Toyota,Rush,SUV,2021,17500,Automatic,245000000
Toyota,Avanza,MPV,2017,197500,Manual,88700000
BMW,320i,Sedan,2009,122500,Automatic,161000000
Toyota,Vios,Sedan,2019,47500,Automatic,179000000
Toyota,Rush,SUV,2021,22500,Manual,245000000
Wuling,Almaz,Wagon,2021,72500,Automatic,255000000
Daihatsu,Ayla,Hatchback,2021,22500,Manual,135000000
Toyota,Crown,Sedan,1981,202500,Manual,30000000
Toyota,Yaris,Hatchback,2020,47500,Automatic,204000000
Nissan,Livina,Wagon,2010,107500,Automatic,72000000
Toyota,Avanza,MPV,2008,182500,Manual,95000000
Toyota,Calya,MPV,2019,17500,Manual,130000000
Mercedes-Benz,C200,Sedan,2010,167500,Automatic,185000000
Toyota,Sienta,MPV,2017,72500,Automatic,180000000
Daihatsu,Xenia,MPV,2010,297500,Manual,60000000
Toyota,Yaris,Hatchback,2013,147500,Automatic,108000000
Toyota,Avanza,MPV,2016,102500,Manual,167000000
Toyota,Rush,SUV,2021,22500,Automatic,247000000
Daihatsu,Xenia,MPV,2018,77500,Manual,143000000
Toyota,Yaris,Hatchback,2016,102500,Manual,160000000
Toyota,Kijang Innova,MPV,2012,137500,Manual,155000000
Nissan,Evalia,MPV,2013,142500,Manual,83000000
Toyota,Rush,SUV,2018,102500,Manual,230000000
Toyota,Avanza,MPV,2018,82500,Automatic,165000000
Toyota,Kijang Innova,MPV,2015,97500,Manual,235000000
Toyota,Kijang Innova,MPV,2011,157500,Manual,155000000
Daihatsu,Terios,SUV,2009,97500,Manual,86000000
BMW,320d,Sedan,2015,72500,Automatic,359000000
Toyota,Avanza,MPV,2016,117500,Manual,145500000
Toyota,Corolla Altis,Sedan,2007,157500,Manual,90000000
Mitsubishi,Eterna,Sedan,1992,297500,Manual,43500000
Toyota,Avanza,MPV,2014,122500,Automatic,134500000
KIA,Rio,Hatchback,2013,117500,Automatic,120000000
Toyota,Kijang Innova,MPV,2005,112500,Manual,95000000
Suzuki,Ignis,Hatchback,2018,81000,Automatic,138000000
Honda,CR-V,SUV,2008,137500,Automatic,119500000
Honda,CR-V,SUV,2018,52500,Automatic,379000000
Honda,Brio,Hatchback,2016,67500,Manual,115000000
Toyota,Yaris,Hatchback,2012,57500,Manual,118000000
Toyota,Yaris,Hatchback,2018,42500,Automatic,217000000
Jeep,Wrangler,SUV,2015,37500,Automatic,1000000000
Chevrolet,Captiva,SUV,2010,157500,Automatic,99000000
Toyota,Avanza,MPV,2008,297500,Manual,85000000
Jeep,CJ 7,Jeep,1987,112500,Manual,140000000
Daihatsu,Xenia,MPV,2013,147500,Manual,90000000
BMW,320d,Sedan,2016,52500,Automatic,425000000
Toyota,Sienta,MPV,2018,62500,Automatic,165000000
Toyota,Avanza,MPV,2010,32500,Manual,107000000
Daihatsu,Gran Max,Pick-up,2021,72500,Manual,97000000
Toyota,Avanza,MPV,2005,97500,Manual,85000000
Toyota,Avanza,MPV,2011,82500,Manual,118000000
Volkswagen,Tiguan,SUV,2013,72500,Automatic,170000000
Daihatsu,Xenia,MPV,2013,72500,Manual,112000000
Toyota,Kijang Innova,MPV,2022,22500,Automatic,425000000
Toyota,Kijang,MPV,2001,147500,Automatic,72000000
Toyota,Kijang Innova,MPV,2020,37500,Manual,260000000
Toyota,Kijang Innova,MPV,2006,142500,Automatic,90000000
Toyota,Kijang Innova,MPV,2016,97500,Automatic,209000000
BMW,Z4,Convertible,2023,2500,Automatic,1950000000
Toyota,Rush,SUV,2021,42500,Automatic,236000000
Toyota,Avanza,MPV,2010,177500,Manual,96000000
Daihatsu,Terios,SUV,2009,92500,Manual,108000000
Toyota,Kijang Innova,MPV,2008,222500,Manual,163000000
Toyota,Vellfire,Van Wagon,2012,97500,Automatic,350000000
Nissan,March,Hatchback,2014,77500,Manual,180000000
Honda,HR-V,SUV,2017,97500,Automatic,208500000
Honda,City,Sedan,2018,32500,Automatic,220000000
Toyota,Calya,MPV,2019,72500,Automatic,145000000
Toyota,Kijang Innova,MPV,2017,42500,Automatic,249000000
Honda,BR-V,SUV,2018,52500,Automatic,178000000
Mitsubishi,Pajero Sport,SUV,2017,57500,Automatic,375000000
Toyota,Kijang Innova,MPV,2019,87500,Automatic,300000000
Honda,Odyssey,MPV,2015,112500,Automatic,325000000
Honda,Brio,Hatchback,2015,62500,Automatic,115000000
Honda,Accord,Sedan,2008,161000,Automatic,118000000
BMW,X5,SUV,2020,22500,Automatic,1175000000
Ford,Fiesta,Hatchback,2014,77500,Automatic,135000000
Mercedes-Benz,E250,Sedan,2010,62500,Automatic,205000000
Mercedes-Benz,E300,Sedan,2019,27500,Automatic,875000000
Daihatsu,Terios,SUV,2018,52500,Automatic,178000000
Toyota,Kijang Innova,MPV,2013,247500,Manual,139000000
Toyota,Kijang,MPV,2002,102500,Manual,85000000
Chevrolet,Spin,SUV,2015,147500,Automatic,100000000
Toyota,Kijang Innova,MPV,2004,122500,Automatic,91000000
Toyota,Sienta,MPV,2016,72500,Manual,139500000
Daihatsu,Ayla,Hatchback,2015,67500,Manual,85000000
Mitsubishi,Pajero Sport,SUV,2019,32500,Automatic,485000000
Toyota,Avanza,MPV,2016,87500,Manual,155000000
Toyota,Kijang Innova,MPV,2021,37500,Automatic,370000000
Toyota,Kijang,MPV,2003,162500,Manual,69000000
Suzuki,APV,Van,2015,52500,Manual,135000000
Wuling,Confero,Wagon,2022,32500,Manual,168000000
Daihatsu,Xenia,MPV,2016,147500,Manual,142500000
Nissan,X-Trail,Wagon,2015,122500,Automatic,167000000
Toyota,Agya,Hatchback,2015,92500,Manual,84500000
Suzuki,SX4,Hatchback,2009,147500,Automatic,95000000
BMW,120i,Hatchback,2006,102500,Automatic,165000000
Toyota,Rush,SUV,2020,47500,Automatic,215000000
Toyota,Kijang Innova,MPV,2017,62500,Automatic,320000000
Toyota,Calya,MPV,2019,72500,Manual,125000000
Toyota,Kijang Innova,MPV,2021,2500,Automatic,390000000
Toyota,Kijang Innova,MPV,2018,12500,Automatic,425000000
Honda,CR-V,SUV,2012,57500,Automatic,195000000
Toyota,Veloz,Wagon,2022,12500,Automatic,268500000
Toyota,Kijang Innova,MPV,2016,102500,Manual,229000000
Mitsubishi,Pajero Sport,SUV,2020,22500,Automatic,495000000
Toyota,Kijang Innova,MPV,2010,182500,Automatic,190000000
Daihatsu,Rocky,Wagon,2021,2500,Automatic,185000000
Honda,Brio,Hatchback,2021,50000,Automatic,158000000
Toyota,Raize,Wagon,2023,7500,Automatic,275000000
Suzuki,Splash,Hatchback,2014,137500,Automatic,95000000
Honda,Freed,MPV,2011,117500,Automatic,129000000
Suzuki,Ertiga,MPV,2016,900007,Manual,130000000
Toyota,Avanza,MPV,2015,172500,Manual,116000000
Toyota,Kijang Innova,MPV,2017,47500,Automatic,340000000
Toyota,Kijang Innova,MPV,2014,102500,Manual,240000000
Nissan,Livina X-Gear,SUV,2010,287500,Automatic,82000000
Mazda,CX-9,SUV,2018,37500,Automatic,550000000
Toyota,Vios,Sedan,2017,117500,Automatic,147000000
Toyota,Avanza,MPV,2019,77500,Automatic,190000000
Isuzu,Elf,Minibus,2016,297500,Manual,167000000
Nissan,Grand Livina,MPV,2007,272500,Automatic,70000000
Nissan,Juke,SUV,2011,162500,Automatic,118000000
Honda,Brio,Hatchback,2019,22500,Automatic,161000000
Nissan,Grand Livina,MPV,2013,107500,Automatic,94000000
Toyota,Calya,MPV,2022,42500,Manual,175000000
Honda,Jazz,Hatchback,2014,112500,Automatic,160000000
Mazda,CX-5,SUV,2021,47500,Automatic,450000000
Lexus,RX200t,SUV,2016,37500,Automatic,760000000
Toyota,Corolla Altis,Sedan,2005,132500,Automatic,75000000
Honda,City,Sedan,2013,92500,Automatic,120000000
Nissan,X-Trail,SUV,2012,107500,Automatic,125000000
Toyota,Vellfire,Van Wagon,2011,92500,Automatic,280000000
Nissan,X-Trail,SUV,2011,92500,Automatic,115000000
Honda,Brio,Hatchback,2016,65900,Automatic,128000000
Toyota,Kijang Innova Zenix,Wagon,2023,2500,Automatic,598000000
Toyota,Kijang Innova,MPV,2016,7500,Manual,270000000
Mercedes-Benz,R280L,Wagon,2008,147500,Automatic,250000000
Daihatsu,Feroza,Jeep,1998,177500,Manual,55000000
Honda,Jazz,Hatchback,2016,72500,Automatic,198000000
Toyota,Veloz,Wagon,2021,37500,Automatic,232000000
Isuzu,Panther,SUV,2009,132500,Manual,150000000
Toyota,Kijang,MPV,2001,62500,Manual,110000000
Hyundai,Getz,Hatchback,2005,12500,Manual,60000000
Suzuki,S-Presso,Hatchback,2022,22500,Automatic,137500000
Daihatsu,Ayla,Hatchback,2022,22500,Manual,135000000
Wuling,Confero,Wagon,2021,37500,Manual,116000000
Toyota,Fortuner,SUV,2016,32500,Automatic,399000000
Toyota,Kijang Innova,MPV,2020,52500,Manual,380000000
Honda,Mobilio,MPV,2015,97500,Automatic,148000000
Daihatsu,Xenia,MPV,2016,97500,Automatic,123000000
Toyota,Kijang Innova,MPV,2014,162500,Manual,255000000
Toyota,Kijang Innova,MPV,2021,62500,Manual,350000000
Hyundai,Creta,Wagon,2022,12500,Automatic,350000000
Daihatsu,Terios,SUV,2013,57500,Manual,145000000
Toyota,Fortuner,SUV,2019,52500,Automatic,450000000
Daihatsu,Ayla,Hatchback,2017,22500,Manual,92000000
Mercedes-Benz,SLK200,Convertible,2012,72500,Automatic,525000000
BMW,528i,Sedan,2011,72500,Automatic,249000000
BMW,320i,Sedan,2016,52500,Automatic,425000000
Mazda,3,Hatchback,2018,22500,Automatic,335000000
Wuling,Confero,Wagon,2022,12500,Manual,129000000
BMW,520d,Sedan,2014,97500,Automatic,335000000
Toyota,Agya,Hatchback,2019,52500,Manual,120000000
Daihatsu,Ayla,Hatchback,2019,123500,Automatic,110000000
Toyota,Agya,Hatchback,2018,66000,Automatic,132500000
Nissan,Grand Livina,MPV,2014,117500,Manual,115000000
Honda,Brio,Hatchback,2014,77500,Automatic,125000000
Mitsubishi,Pajero Sport,SUV,2011,142500,Automatic,255000000
Daihatsu,Terios,SUV,2007,152500,Automatic,93500000
Toyota,Kijang Innova,MPV,2011,167500,Automatic,137000000
Honda,HR-V,SUV,2022,16000,Automatic,348000000
Toyota,Fortuner,SUV,2019,45000,Manual,430000000
Daihatsu,Xenia,MPV,2016,127500,Automatic,123000000
Nissan,Teana,Sedan,2012,2500,Automatic,135000000
Toyota,Fortuner,SUV,2019,88000,Manual,430000000
Toyota,Corolla Altis,Sedan,2016,82000,Automatic,205000000
Chevrolet,Captiva,SUV,2011,125000,Automatic,120000000
BMW,X3,SUV,2019,27500,Automatic,799000000
Mitsubishi,Xpander,Wagon,2018,72500,Automatic,193000000
Daihatsu,Xenia,MPV,2008,52500,Manual,98000000
Toyota,Agya,Hatchback,2020,57500,Automatic,122000000
Daihatsu,Ayla,Hatchback,2014,92500,Manual,86000000
Mitsubishi,Lancer,Sedan,2004,152500,Manual,60000000
Toyota,Rush,SUV,2020,72500,Automatic,210000000
Mitsubishi,Galant,Sedan,1994,182500,Manual,45000000
Toyota,Vellfire,Van Wagon,2015,62500,Automatic,689000000
Daihatsu,Sigra,MPV,2020,32500,Automatic,150000000
Isuzu,Panther,MPV,1996,132500,Manual,39000000
Mercedes-Benz,E250,Coupe,2014,37500,Automatic,750000000
Suzuki,Katana,Wagon,1997,57500,Manual,150000000
Daihatsu,Taft,SUV,1998,162500,Manual,130000000
Daihatsu,Ayla,Hatchback,2017,142500,Manual,80000000
Toyota,Yaris,Hatchback,2014,77500,Manual,150000000
Toyota,Kijang,MPV,2003,97500,Manual,84000000
Toyota,Kijang Innova,MPV,2007,97500,Automatic,115000000
Mitsubishi,Xpander,Wagon,2018,60000,Automatic,196000000
Suzuki,Baleno,Sedan,2002,197500,Manual,53000000
Toyota,Kijang Innova,MPV,2018,67500,Automatic,285000000
Hyundai,Grand Avega,Hatchback,2012,112500,Automatic,94000000
Honda,BR-V,SUV,2016,87500,Automatic,175000000
Honda,Freed,MPV,2013,72500,Automatic,175000000
Suzuki,Karimun Wagon R,Hatchback,2019,57500,Automatic,102000000
Suzuki,Karimun Wagon R,Hatchback,2014,87500,Manual,75500000
BMW,520d,Sedan,2012,67500,Automatic,295000000
Toyota,Avanza,MPV,2017,92500,Manual,140000000
Ford,Everest,SUV,2008,192500,Manual,145000000
Mitsubishi,Mirage,Hatchback,2013,84000,Automatic,90000000
Ford,Fiesta,Hatchback,2013,98000,Automatic,110000000
Suzuki,Ertiga,MPV,2013,92500,Manual,112500000
Suzuki,Ignis,Hatchback,2018,102500,Automatic,129000000
Toyota,Kijang Innova,MPV,2011,102500,Automatic,195000000
Toyota,Vios,Sedan,2012,131000,Automatic,125000000
Toyota,Camry,Sedan,2016,67500,Automatic,245000000
Wuling,EV,Hatchback,2022,2500,Automatic,255000000
Honda,CR-V,SUV,2012,87500,Automatic,177500000
Honda,Brio,Hatchback,2019,22500,Manual,170000000
Mitsubishi,Xpander,Wagon,2019,27500,Automatic,204000000
Toyota,Fortuner,SUV,2018,32500,Automatic,395000000
Isuzu,Panther,SUV,2001,202500,Automatic,98000000
Nissan,X-Trail,Wagon,2015,137500,Automatic,172000000
Toyota,Avanza,MPV,2010,77500,Automatic,90000000
Honda,Jazz,Hatchback,2018,37500,Automatic,235000000
Toyota,Soluna,Sedan,2002,192500,Manual,45500000
Wuling,Almaz,Wagon,2022,17500,Automatic,250000000
Mercedes-Benz,E230,Sedan,1997,77500,Automatic,155000000
Isuzu,Panther,SUV,2012,127500,Manual,152000000
Isuzu,Panther,SUV,2019,132500,Manual,155000000
Isuzu,Panther,SUV,2004,142500,Manual,120000000
Isuzu,Panther,SUV,2011,97500,Manual,140000000
Isuzu,Elf,Minibus,2015,162500,Manual,305000000
Isuzu,Pickup,Pick-up,2016,92500,Manual,110000000
Mitsubishi,Pajero Sport,SUV,2017,112500,Automatic,355000000
Suzuki,Ertiga,MPV,2015,92500,Automatic,139900000
Mitsubishi,Xpander,Wagon,2021,27500,Automatic,230000000
Mitsubishi,Pajero Sport,SUV,2017,37500,Automatic,442000000
Suzuki,Ignis,Hatchback,2021,12500,Automatic,175000000
Suzuki,Ertiga,MPV,2023,7500,Automatic,245000000
Honda,Brio,Hatchback,2019,27500,Automatic,157000000
BMW,523i,Sedan,2005,122500,Automatic,109000000
Honda,Brio,Hatchback,2019,72500,Automatic,170000000
Audi,Q7,SUV,2014,62500,Automatic,270000000
Daihatsu,Xenia,MPV,2010,42500,Manual,85000000
Toyota,Fortuner,SUV,2020,57500,Automatic,448000000
Honda,CR-V,SUV,2001,177500,Automatic,68000000
Isuzu,Panther,SUV,2006,97500,Manual,125500000
Mercedes-Benz,C280,Sedan,2009,107500,Automatic,160000000
KIA,Pride,Hatchback,2010,142500,Automatic,74000000
Toyota,Yaris,Hatchback,2011,147500,Automatic,120000000
Toyota,Yaris,Hatchback,2020,37500,Automatic,240000000
Isuzu,Panther,MPV,1996,127500,Manual,60000000
Mercedes-Benz,C200,Coupe,2018,52500,Automatic,575000000
Toyota,Sienta,MPV,2017,82500,Automatic,160000000
Nissan,March,Hatchback,2013,122500,Manual,80000000
Daihatsu,Xenia,MPV,2010,202500,Automatic,98000000
Toyota,Corolla Cross,Wagon,2021,62500,Automatic,426000000
Nissan,Serena,MPV,2007,192500,Automatic,74500000
Jeep,Wrangler,SUV,2013,37500,Automatic,1025000000
Daihatsu,Luxio,MPV,2018,92500,Manual,142000000
KIA,Picanto,Hatchback,2011,57500,Automatic,70500000
Toyota,Corolla Altis,Sedan,2017,72500,Automatic,235000000
Toyota,Avanza,MPV,2021,17500,Automatic,227000000
Toyota,Vios,Sedan,2011,62500,Automatic,118000000
Mazda,CX-9,SUV,2018,55000,Automatic,480000000
Nissan,X-Trail,SUV,2016,88000,Automatic,195000000
Toyota,Rush,SUV,2020,48000,Automatic,210000000
Mazda,CX-5,SUV,2014,84000,Automatic,185000000
Honda,CR-V,SUV,2016,55000,Automatic,240000000
Toyota,Kijang Innova,MPV,2015,78000,Automatic,179000000
Nissan,Juke,SUV,2015,79000,Automatic,155000000
Honda,Mobilio,MPV,2014,77000,Automatic,115000000
Toyota,Camry,Sedan,2013,112000,Automatic,185000000
Toyota,Kijang Innova,MPV,2018,65000,Automatic,245000000
Honda,HR-V,SUV,2015,74000,Automatic,188000000
Toyota,Yaris,Hatchback,2017,62000,Automatic,167000000
Honda,CR-V,SUV,2021,36000,Automatic,485000000
Mitsubishi,Xpander,Wagon,2021,42500,Automatic,233000000
Toyota,Rush,SUV,2018,17500,Automatic,205000000
Mercedes-Benz,C200,Sedan,2012,92500,Automatic,168000000
Honda,Freed,MPV,2011,72500,Automatic,128500000
Honda,HR-V,SUV,2019,32500,Automatic,280000000
Suzuki,Swift,Hatchback,2011,122500,Automatic,107000000
Suzuki,Ignis,Hatchback,2017,77500,Automatic,127000000
Suzuki,Katana,Jeep,1987,167500,Manual,47000000
Wuling,Confero,Wagon,2020,42500,Manual,103500000
Daihatsu,Sigra,MPV,2017,122500,Manual,98000000
Honda,Jazz,Hatchback,2011,122500,Automatic,130000000
Wuling,Confero,Wagon,2022,12500,Manual,121000000
Mitsubishi,Pajero Sport,SUV,2021,7500,Automatic,560000000
Toyota,Alphard,Van Wagon,2023,7500,Automatic,1275000000
Toyota,Kijang Innova,MPV,2013,167500,Manual,159000000
Honda,Jazz,Hatchback,2018,27500,Automatic,207500000
Honda,HR-V,SUV,2019,37500,Automatic,249500000
Honda,HR-V,SUV,2018,47500,Automatic,197000000
Mercedes-Benz,C200,Sedan,2015,12500,Automatic,577000000
Mercedes-Benz,C200K,Sedan,2008,182500,Automatic,148000000
Honda,CR-V,SUV,2010,112500,Automatic,139000000
Honda,CR-V,SUV,2008,142500,Automatic,118000000
Mercedes-Benz,CLA200,Coupe,2016,37500,Automatic,525000000
Mercedes-Benz,E200,Sedan,2013,152500,Automatic,195000000
Honda,BR-V,SUV,2016,77500,Automatic,159500000
BMW,318i,Sedan,1988,297500,Manual,75000000
Honda,Brio,Hatchback,2018,57500,Automatic,125500000
Honda,Brio,Hatchback,2017,37500,Automatic,139500000
Nissan,Serena,MPV,2014,92500,Automatic,185000000
Nissan,Juke,SUV,2011,87500,Automatic,125000000
Honda,Accord,Sedan,2006,140000,Automatic,72500000
Toyota,Alphard,Van Wagon,2015,17500,Automatic,860000000
Toyota,Alphard,Van Wagon,2016,17500,Automatic,910000000
Toyota,Rush,SUV,2018,61000,Automatic,199000000
Honda,HR-V,SUV,2018,42500,Automatic,235000000
Honda,Mobilio,MPV,2016,95200,Automatic,160000000
Mazda,2,Hatchback,2018,32500,Automatic,240000000
Nissan,Juke,SUV,2011,117500,Automatic,118000000
Hyundai,H-1,MPV,2015,122500,Automatic,260000000
Toyota,Etios,Sedan,2013,42500,Manual,62000000
Toyota,Sienta,MPV,2016,77500,Automatic,153500000
Toyota,Rush,SUV,2023,12500,Automatic,270000000
Daihatsu,Ayla,Hatchback,2021,12500,Manual,95000000
Toyota,Avanza,MPV,2014,37500,Manual,150000000
Daihatsu,Ayla,Hatchback,2018,117500,Automatic,130000000
Toyota,Fortuner,SUV,2018,42500,Automatic,400000000
Daihatsu,Gran Max,Pick-up,2015,82500,Manual,71500000
Toyota,Agya,Hatchback,2019,2500,Manual,119000000
Toyota,Vios,Sedan,2008,272500,Manual,83000000
Toyota,Innova Venturer,Wagon,2017,72500,Manual,375000000
Toyota,Kijang Innova,MPV,2020,37500,Manual,330000000
Jeep,Wrangler,SUV,2011,72500,Automatic,850000000
Daihatsu,Sirion,Hatchback,2020,52500,Automatic,159000000
Toyota,Avanza,MPV,2012,242500,Manual,120000000
Honda,CR-V,SUV,2014,77500,Automatic,215000000
Toyota,Vios,Sedan,2014,112500,Manual,95000000
Daihatsu,Gran Max,Pick-up,2019,37500,Manual,120000000
Toyota,Calya,MPV,2022,22500,Manual,137000000
Toyota,Raize,Wagon,2022,2500,Automatic,228000000
Daihatsu,Xenia,MPV,2015,32500,Manual,115000000
Honda,Mobilio,MPV,2019,57500,Automatic,198000000
Mercedes-Benz,E300,Sedan,2010,77500,Automatic,300000000
Suzuki,Carry,Pick-up,2018,32500,Manual,82500000
Suzuki,Karimun Wagon R,Hatchback,2019,37500,Automatic,118000000
Suzuki,Ertiga,MPV,2022,22500,Automatic,191000000
Toyota,Calya,MPV,2016,92500,Manual,115000000
Daihatsu,Terios,SUV,2014,137500,Manual,153000000
Toyota,Fortuner,SUV,2016,97500,Automatic,385000000
Suzuki,Ertiga,MPV,2016,122500,Automatic,139000000
Daihatsu,Luxio,MPV,2015,97500,Automatic,165000000
Daihatsu,Terios,SUV,2016,72500,Manual,165000000
Toyota,Camry,Sedan,2012,102500,Automatic,175000000
Toyota,Calya,MPV,2016,7500,Manual,100000000
Suzuki,Karimun Wagon R,Hatchback,2017,52500,Automatic,85000000
Suzuki,Karimun,Hatchback,2001,227500,Manual,53000000
Toyota,Kijang Innova,MPV,2020,67500,Manual,248000000
Hyundai,Avega,Sedan,2011,102500,Manual,62000000
BMW,116i,Hatchback,2013,107500,Automatic,350000000
Suzuki,Ertiga,MPV,2018,27500,Manual,165000000
Suzuki,Ertiga,MPV,2012,142500,Manual,115000000
Suzuki,Ertiga,MPV,2019,47500,Manual,190000000
Toyota,Veloz,Wagon,2022,32500,Automatic,247000000
Toyota,Camry,Sedan,2006,117500,Automatic,135000000
BMW,528i,Sedan,1997,172500,Automatic,66500000
Nissan,Serena,MPV,2015,97500,Automatic,207000000
Audi,Q3,SUV,2012,117500,Automatic,245000000
Mazda,CX-5,SUV,2013,82500,Automatic,175000000
Toyota,Yaris,Hatchback,2012,77500,Automatic,130000000
Lexus,RX270,SUV,2013,142500,Automatic,330000000
Mazda,2,Hatchback,2012,82500,Automatic,108000000
Daihatsu,Sigra,MPV,2019,32500,Manual,115000000
Toyota,Veloz,Wagon,2022,17500,Automatic,242000000
Honda,Mobilio,MPV,2016,32500,Automatic,145000000
Mazda,2,Hatchback,2013,72500,Automatic,112000000
Hyundai,Creta,Wagon,2022,12500,Automatic,288000000
Toyota,Avanza,MPV,2013,82500,Automatic,122000000
Daihatsu,Terios,SUV,2013,65000,Manual,122000000
Mitsubishi,Xpander,Wagon,2018,32500,Automatic,186000000
Daihatsu,Sigra,MPV,2021,27500,Manual,109500000
Daihatsu,Sigra,MPV,2023,7500,Manual,106000000
Honda,Mobilio,MPV,2017,57500,Automatic,157000000
Honda,Jazz,Hatchback,2017,42500,Automatic,169500000
Daihatsu,Sirion,Hatchback,2017,87500,Automatic,124500000
Daihatsu,Sirion,Hatchback,2020,42500,Automatic,158500000
Daihatsu,Gran Max,Van,2021,27500,Manual,123500000
Daihatsu,Luxio,MPV,2022,7500,Automatic,195000000
Daihatsu,Ayla,Hatchback,2020,32500,Manual,104000000
Toyota,Avanza,MPV,2014,132500,Manual,120000000
Suzuki,SX4 S-Cross,Hatchback,2022,7500,Automatic,233000000
Toyota,Kijang Innova,MPV,2019,52500,Automatic,315000000
Honda,CR-V,SUV,2013,62500,Automatic,180000000
Honda,Brio,Hatchback,2018,22500,Automatic,133000000
Isuzu,Elf,Minibus,2008,241000,Manual,122000000
Mercedes-Benz,C250,Sedan,2016,37500,Automatic,500000000
Honda,CR-V,SUV,2013,92500,Automatic,195000000
Mitsubishi,Mirage,Hatchback,2013,84000,Automatic,90000000
Nissan,Teana,Sedan,2010,160000,Automatic,110000000
Suzuki,Baleno,Hatchback,2019,22500,Manual,175000000
Mitsubishi,Xpander,Wagon,2021,34309,Automatic,250000000
Honda,Accord,Sedan,2016,40000,Automatic,385000000
Chevrolet,Spin,SUV,2013,28000,Manual,123000000
Toyota,Kijang Innova,MPV,2005,200000,Automatic,93000000
Honda,BR-V,SUV,2019,77500,Automatic,200000000
Nissan,X-Trail,SUV,2011,105000,Automatic,135000000
Hyundai,Staria,Wagon,2023,2500,Automatic,1365000000
Toyota,Vios,Sedan,2018,91000,Automatic,168000000
Toyota,Kijang Innova,MPV,2017,42500,Automatic,230000000
Honda,HR-V,SUV,2020,32500,Automatic,253000000
Toyota,Yaris,Hatchback,2019,42500,Automatic,199000000
Honda,Civic,Sedan,2012,102500,Automatic,149000000
Honda,Brio,Hatchback,2022,22500,Automatic,160000000
Mercedes-Benz,S450 L,Sedan,2023,2500,Automatic,2850000000
Honda,Jazz,Hatchback,2019,12500,Automatic,240000000
Mitsubishi,Xpander,Wagon,2021,27500,Automatic,234500000
Honda,Brio,Hatchback,2021,17500,Automatic,155000000
Daihatsu,Gran Max,Van,2021,82500,Manual,140000000
Land Rover,Range Rover,SUV,2014,42500,Automatic,1288000000
Porsche,Cayenne,SUV,2013,42500,Automatic,688000000
Volkswagen,Scirocco,Hatchback,2016,52500,Automatic,418000000
Toyota,Vellfire,Van Wagon,2015,92500,Automatic,688000000
Toyota,Land Cruiser,SUV,2000,202500,Manual,588000000
Daihatsu,Sigra,MPV,2020,57500,Automatic,135000000
Toyota,Alphard,MPV,2011,92500,Automatic,299000000
Mercedes-Benz,GLC300,Wagon,2023,7500,Automatic,1550000000
KIA,Picanto,Hatchback,2007,164000,Automatic,39800000
Mercedes-Benz,220E,Sedan,1994,122500,Automatic,99000000
Audi,A4,Sedan,2012,98000,Automatic,210000000
Wuling,Almaz,Wagon,2019,40000,Automatic,205000000
Toyota,Corolla Altis,Sedan,2017,42000,Automatic,225000000
Mitsubishi,Pajero,SUV,1995,127500,Manual,195000000
Mitsubishi,Pajero Sport,SUV,2019,52500,Automatic,460000000
Mitsubishi,Pajero Sport,SUV,2013,87500,Automatic,279000000
Toyota,Raize,Wagon,2022,12500,Automatic,229000000
Suzuki,Baleno,Hatchback,2018,42500,Manual,165000000
Mitsubishi,Xpander,Wagon,2017,72500,Automatic,220000000
Daihatsu,Sirion,Hatchback,2019,40200,Manual,140000000
Toyota,Rush,SUV,2019,33000,Automatic,198000000
Toyota,Kijang Innova,MPV,2020,91000,Automatic,350000000
Toyota,Fortuner,SUV,2021,28500,Automatic,505000000
